10;97;80;;;;;;;
20;97;15;;;;;;;
30;97;99;;-9999.0;-9999.0;-9999.0;-9999.0;;
40;0;;Z;;24.00;;;;
50;0;;Y;;16.50;;;;
60;97;10;;0.00;;;;;
70;28;;XY;;;;;;
80;97;6;;1;3;4;11000;;
90;0;;Z;;24.00;;;;
100;0;;Y;;16.50;;;;
110;97;10;;0.0;;;;;
120;97;4;;1;11000;;;;
130;0;;XYZ;;258.5;-106.0;-84.58;;
140;0;;Z;;-196.29;;;;
150;97;7;;2;;;;;
160;97;11;;;;;;;
170;1;;Z;200;-188.29;;;;
180;28;;XY;;;;;;
190;2;;XY;800;258.5;-107.0;258.5;-106.0;
200;2;;XY;800;258.5;-105.0;258.5;-106.0;
210;97;9;;;;;;;
220;0;;Z;;-84.58;;;;
230;0;;XYZ;;259.5;-106.0;-84.58;;
240;0;;Z;;-184.29;;;;
250;97;7;;2;;;;;
260;97;11;;;;;;;
270;1;;Z;200;-178.5;;;;
280;97;9;;;;;;;
290;0;;Z;;-84.58;;;;
300;0;;Z;;-84.58;;;;
310;0;;XYZ;;858.5;-106.0;-84.58;;
320;0;;Z;;-196.29;;;;
330;97;7;;2;;;;;
340;97;11;;;;;;;
350;1;;Z;200;-188.29;;;;
360;28;;XY;;;;;;
370;2;;XY;800;858.5;-107.0;858.5;-106.0;
380;2;;XY;800;858.5;-105.0;858.5;-106.0;
390;97;9;;;;;;;
400;0;;Z;;-84.58;;;;
410;0;;XYZ;;859.5;-106.0;-84.58;;
420;0;;Z;;-184.29;;;;
430;97;7;;2;;;;;
440;97;11;;;;;;;
450;1;;Z;200;-178.5;;;;
460;97;9;;;;;;;
470;0;;Z;;-84.58;;;;
480;0;;XYZ;;145.5;-143.61;-77.0;;
490;0;;Z;;-217.53;;;;
500;97;7;;2;;;;;
510;97;11;;;;;;;
520;1;;Z;200;-223.59;;;;
530;97;9;;;;;;;
540;0;;Z;;-77.0;;;;
550;0;;XYZ;;145.5;-139.6;-77.0;;
560;0;;Z;;-217.53;;;;
570;97;7;;2;;;;;
580;97;11;;;;;;;
590;1;;Z;200;-229.53;;;;
600;28;;XY;;;;;;
610;1;;XY;800;174.5;-139.6;;;
620;97;9;;;;;;;
630;0;;XYZ;;145.5;-139.6;-229.53;;
640;0;;Z;;-229.54;;;;
650;97;7;;2;;;;;
660;97;11;;;;;;;
670;1;;Z;200;-241.9;;;;
680;28;;XY;;;;;;
690;1;;XY;800;174.5;-139.6;;;
700;97;9;;;;;;;
710;0;;Z;;-77.0;;;;
720;0;;Z;;24.00;;;;
730;0;;Y;;16.50;;;;
740;0;;Z;;24.00;;;;
750;0;;Y;;16.50;;;;
760;0;;Z;;24.00;;;;
770;0;;Y;;16.50;;;;
780;97;10;;-43;;;;;
790;0;;XYZ;;545.0;-209.43;-77.0;;
800;0;;Z;;-167.14;;;;
810;97;7;;2;;;;;
820;97;11;;;;;;;
830;1;;Z;200;-173.2;;;;
840;97;9;;;;;;;
850;0;;Z;;-77.0;;;;
860;0;;XYZ;;545.0;-205.42;-77.0;;
870;0;;Z;;-167.14;;;;
880;97;7;;2;;;;;
890;97;11;;;;;;;
900;1;;Z;200;-179.14;;;;
910;28;;XY;;;;;;
920;1;;XY;800;574.0;-205.42;;;
930;97;9;;;;;;;
940;0;;XYZ;;545.0;-205.42;-179.14;;
950;0;;Z;;-179.15;;;;
960;97;7;;2;;;;;
970;97;11;;;;;;;
980;1;;Z;200;-191.51;;;;
990;28;;XY;;;;;;
1000;1;;XY;800;574.0;-205.42;;;
1010;97;9;;;;;;;
1020;0;;Z;;-26.61;;;;
1030;0;;XYZ;;944.5;-209.43;-26.610000000000014;;
1040;0;;Z;;-167.14;;;;
1050;97;7;;2;;;;;
1060;97;11;;;;;;;
1070;1;;Z;200;-173.2;;;;
1080;97;9;;;;;;;
1090;0;;Z;;-26.610000000000014;;;;
1100;0;;XYZ;;944.5;-205.42;-26.61;;
1110;0;;Z;;-167.14;;;;
1120;97;7;;2;;;;;
1130;97;11;;;;;;;
1140;1;;Z;200;-179.14;;;;
1150;28;;XY;;;;;;
1160;1;;XY;800;973.5;-205.42;;;
1170;97;9;;;;;;;
1180;0;;XYZ;;944.5;-205.42;-179.14;;
1190;0;;Z;;-179.15;;;;
1200;97;7;;2;;;;;
1210;97;11;;;;;;;
1220;1;;Z;200;-191.51;;;;
1230;28;;XY;;;;;;
1240;1;;XY;800;973.5;-205.42;;;
1250;97;9;;;;;;;
1260;0;;Z;;24.00;;;;
1270;97;5;;;;;;;
1280;97;50;;;;;;;
1290;97;80;;;;;;;
1300;97;15;;;;;;;
